Time;Channel A;Channel B
-10,06459082;0,47914061;-0,00015259
-10,04411082;0,47914061;-0,00015259
-10,02363082;0,47914061;-0,00015259
-10,00315082;0,47914061;-0,00015259
-9,98267082;0,52293468;1,58223212
-9,96219082;0,52293468;4,92309332
-9,94171082;0,52293468;4,96704006
-9,92123082;0,52293468;4,92309332
-9,90075082;0,56657612;4,92309332
-9,88027082;0,56657612;4,96704006
-9,85979082;0,56657612;4,96704006
-9,83931082;0,56657612;4,92309332
-9,81883082;0,56657612;4,96704006
-9,79835082;0,56657612;4,96704006
-9,77787082;0,61037016;4,96704006
-9,75739082;0,61037016;4,96704006
-9,73691082;0,61037016;4,96704006
-9,71643082;0,61037016;4,96704006
-9,69595082;0,65416425;4,96704006
-9,67547082;0,65416425;4,96704006
-9,65499082;0,65416425;4,96704006
-9,63451082;0,65416425;4,96704006
-9,61403082;0,65416425;4,96704006
-9,59355082;0,65416425;4,96704006
-9,57307082;0,65416425;4,96704006
-9,55259082;0,65416425;4,96704006
-9,53211082;0,69780570;4,92309332
-9,51163082;0,74159980;4,96704006
-9,49115082;0,69780570;4,96704006
-9,47067082;0,74159980;4,96704006
-9,45019082;0,74159980;4,96704006
-9,42971082;0,74159980;4,92309332
-9,40923082;0,74159980;4,96704006
-9,38875082;0,74159980;4,96704006
-9,36827082;0,78539383;4,96704006
-9,34779082;0,78539383;4,96704006
-9,32731082;0,78539383;4,96704006
-9,30683082;0,78539383;4,96704006
-9,28635082;0,78539383;4,96704006
-9,26587082;0,78539383;4,96704006
-9,24539082;0,78539383;4,92309332
-9,22491082;0,78539383;4,96704006
-9,20443082;0,82918793;4,96704006
-9,18395082;0,82918793;4,96704006
-9,16347082;0,82918793;4,96704006
-9,14299082;0,82918793;4,96704006
-9,12251082;0,87282938;4,96704006
-9,10203082;0,87282938;4,96704006
-9,08155082;0,87282938;4,96704006
-9,06107082;0,87282938;4,96704006
-9,04059082;0,87282938;4,96704006
-9,02011082;0,91662341;4,96704006
-8,99963082;0,91662341;4,96704006
-8,97915082;0,91662341;4,96704006
-8,95867082;0,91662341;4,96704006
-8,93819082;0,91662341;4,96704006
-8,91771082;0,96041751;4,96704006
-8,89723082;0,96041751;4,96704006
-8,87675082;0,96041751;4,92309332
-8,85627082;0,96041751;4,96704006
-8,83579082;1,00405896;4,96704006
-8,81531082;1,00405896;4,96704006
-8,79483082;1,00405896;4,96704006
-8,77435082;1,00405896;4,96704006
-8,75387082;1,00405896;4,96704006
-8,73339082;1,00405896;4,96704006
-8,71291082;1,00405896;4,96704006
-8,69243082;1,00405896;4,96704006
-8,67195082;1,00405896;4,96704006
-8,65147082;1,04785299;4,96704006
-8,63099082;1,04785299;
-8,61051082;1,04785299;4,96704006
-8,59003082;1,04785299;4,96704006
-8,56955082;1,04785299;4,92309332
-8,54907082;1,09164703;4,96704006
-8,52859082;1,09164703;4,96704006
-8,50811082;1,09164703;4,96704006
-8,48763082;1,09164703;4,96704006
-8,46715082;1,13528860;4,96704006
-8,44667082;1,13528860;4,96704006
-8,42619083;1,13528860;4,96704006
-8,40571083;1,13528860;4,96704006
-8,38523083;1,13528860;4,96704006
-8,36475083;1,13528860;4,92309332
-8,34427083;1,17908263;4,96704006
-8,32379083;1,17908263;4,96704006
-8,30331083;1,17908263;4,96704006
-8,28283083;1,17908263;
-8,26235083;1,17908263;4,96704006
-8,24187083;1,17908263;4,96704006
-8,22139083;1,22287667;4,96704006
-8,20091083;1,22287667;4,96704006
-8,18043083;1,17908263;4,96704006
-8,15995083;1,22287667;4,96704006
-8,13947083;1,22287667;4,96704006
-8,11899083;1,26651812;4,96704006
-8,09851083;1,26651812;4,96704006
-8,07803083;1,26651812;4,96704006
-8,05755083;1,26651812;4,96704006
-8,03707083;1,26651812;4,96704006
-8,01659083;1,26651812;4,96704006
-7,99611083;1,31031215;4,96704006
-7,97563083;1,31031215;4,96704006
-7,95515083;1,31031215;4,96704006
-7,93467083;1,31031215;4,96704006
-7,91419083;1,31031215;4,96704006
-7,89371083;1,35410631;4,92309332
-7,87323083;1,35410631;4,96704006
-7,85275083;1,35410631;4,96704006
-7,83227083;1,35410631;4,96704006
-7,81179083;1,39774776;4,96704006
-7,79131083;1,35410631;4,96704006
-7,77083083;1,39774776;4,92309332
-7,75035083;1,39774776;4,96704006
-7,72987083;1,39774776;4,96704006
-7,70939083;1,44154179;4,96704006
-7,68891083;1,44154179;4,96704006
-7,66843083;1,44154179;4,96704006
-7,64795083;1,44154179;4,96704006
-7,62747083;1,44154179;4,96704006
-7,60699083;1,44154179;4,96704006
-7,58651083;1,48533583;4,96704006
-7,56603083;1,48533583;4,96704006
-7,54555083;1,48533583;
-7,52507083;1,48533583;4,96704006
-7,50459083;1,48533583;4,96704006
-7,48411083;1,52912986;4,96704006
-7,46363083;1,52912986;4,96704006
-7,44315083;1,52912986;4,96704006
-7,42267083;1,52912986;4,96704006
-7,40219083;1,52912986;4,96704006
-7,38171083;1,57277143;4,96704006
-7,36123083;1,57277143;4,96704006
-7,34075083;1,57277143;4,96704006
-7,32027083;1,57277143;4,96704006
-7,29979083;1,57277143;4,96704006
-7,27931083;1,57277143;4,96704006
-7,25883083;1,61656547;4,96704006
-7,23835083;1,61656547;4,96704006
