Temps;Canal A;Canal B
(ms);(V);(V)

-30,42776592;0,52751240;2,67891500
-30,38680592;0,57161170;2,76833400
-30,34584592;0,57161170;2,85775300
-30,30488592;0,57161170;2,94717200
-30,26392592;0,61571090;2,94717200
-30,22296592;0,61571090;3,03659200
-30,18200592;0,65981020;3,21543000
-30,14104592;0,65981020;3,30515500
-30,10008592;0,70390940;3,30515500
-30,05912592;0,70390940;3,39457400
-30,01816592;0,70390940;3,48399300
-29,97720592;0,74816130;3,57341200
-29,93624592;0,74816130;3,66283200
-29,89528592;0,74816130;3,75225100
-29,85432592;0,74816130;3,75225100
-29,81336592;0,79226050;3,93108900
-29,77240592;0,83635970;3,93108900
-29,73144592;0,83635970;4,10992800
-29,69048592;0,83635970;4,10992800
-29,64952592;0,88045900;4,19934700
-29,60856592;0,88045900;4,28907100
-29,56760592;0,88045900;4,37849000
-29,52664592;0,92455820;4,46791000
-29,48568592;0,92455820;4,46791000
-29,44472592;0,92455820;4,55732900
-29,40376592;0,96865750;4,73616700
-29,36280592;0,96865750;4,73616700
-29,32184592;1,01275700;4,82558700
-29,28088592;1,01275700;4,91500600
-29,23992592;1,01275700;5,00442500
-29,19896592;1,05685600;5,09384400
-29,15800592;1,05685600;5,09384400
-29,11704592;1,10095500;5,09384400
-29,07608592;1,10095500;5,09384400
-29,03512592;1,10095500;5,09384400
-28,99416592;1,10095500;5,09384400
-28,95320593;1,14505400;5,09384400
-28,91224593;1,18915400;5,09384400
-28,87128593;1,18915400;5,09384400
-28,83032593;1,18915400;5,09384400
-28,78936593;1,23325300;5,09384400
-28,74840593;1,23325300;5,09384400
-28,70744593;1,23325300;5,09384400
-28,66648593;1,27735200;5,09384400
-28,62552593;1,27735200;5,09384400
-28,58456593;1,27735200;5,09384400
-28,54360593;1,27735200;5,09384400
-28,50264593;1,32145100;5,09384400
-28,46168593;1,32145100;5,09384400
-28,42072593;1,36555100;5,09384400
-28,37976593;1,36555100;5,09384400
-28,33880593;1,40965000;5,09384400
-28,29784593;1,40965000;5,09384400
-28,25688593;1,40965000;5,09384400
-28,21592593;1,45390200;5,09384400
-28,17496593;1,45390200;5,09384400
