Temps;Canal A;Canal B
(ms);(V);(V)

-15,03585519;1,27735200;1,92754900
-15,01537519;1,27735200;1,92754900
-14,99489519;1,27735200;1,92754900
-14,97441519;1,27735200;1,88283900
-14,95393519;1,27735200;1,88283900
-14,93345519;1,27735200;1,88283900
-14,91297519;1,27735200;1,83797700
-14,89249519;1,23325300;1,83797700
-14,87201519;1,23325300;1,83797700
-14,85153519;1,23325300;1,83797700
-14,83105519;1,23325300;1,83797700
-14,81057519;1,23325300;1,79311500
-14,79009519;1,18915400;1,79311500
-14,76961519;1,18915400;1,74825300
-14,74913519;1,18915400;1,74825300
-14,72865519;1,18915400;1,74825300
-14,70817519;1,18915400;1,70339100
-14,68769519;1,18915400;1,70339100
-14,66721519;1,18915400;1,70339100
-14,64673519;1,18915400;1,70339100
-14,62625519;1,14505400;1,70339100
-14,60577519;1,10095500;1,65868100
-14,58529519;1,10095500;1,65868100
-14,56481519;1,10095500;1,65868100
-14,54433519;1,10095500;1,65868100
-14,52385519;1,10095500;1,65868100
-14,50337519;1,10095500;1,61381900
-14,48289519;1,10095500;1,61381900
-14,46241519;1,10095500;1,56895700
-14,44193519;1,05685600;1,61381900
-14,42145519;1,05685600;1,56895700
-14,40097519;1,05685600;1,52409400
-14,38049519;1,01275700;1,52409400
-14,36001520;1,05685600;1,52409400
-14,33953520;1,05685600;1,47923200
-14,31905520;1,01275700;1,52409400
-14,29857520;1,01275700;1,47923200
-14,27809520;1,01275700;1,47923200
-14,25761520;0,96865750;1,47923200
-14,23713520;0,96865750;1,47923200
-14,21665520;0,96865750;1,47923200
-14,19617520;0,96865750;1,43437000
-14,17569520;0,92455820;1,43437000
-14,15521520;0,92455820;1,43437000
-14,13473520;0,92455820;1,38966000
-14,11425520;0,92455820;1,38966000
-14,09377520;0,92455820;1,38966000
-14,07329520;0,88045900;1,38966000
-14,05281520;0,92455820;1,34479800
-14,03233520;0,88045900;1,29993600
-14,01185520;0,88045900;1,34479800
-13,99137520;0,88045900;1,29993600
-13,97089520;0,88045900;1,29993600
-13,95041520;0,88045900;1,29993600
-13,92993520;0,83635970;1,29993600
-13,90945520;0,83635970;1,25507400
-13,88897520;0,83635970;1,21021200
-13,86849520;0,79226050;1,21021200
-13,84801520;0,79226050;1,21021200
-13,82753520;0,83635970;1,21021200
-13,80705520;0,79226050;1,21021200
-13,78657520;0,79226050;1,16550200
-13,76609520;0,79226050;1,16550200
-13,74561520;0,79226050;1,16550200
-13,72513520;0,79226050;1,16550200
-13,70465520;0,74816130;1,16550200
-13,68417520;0,74816130;1,12064000
-13,66369520;0,74816130;1,12064000
-13,64321520;0,74816130;1,12064000
-13,62273520;0,74816130;1,12064000
-13,60225520;0,74816130;1,07577700
-13,58177520;0,74816130;1,07577700
-13,56129520;0,70390940;1,07577700
-13,54081520;0,70390940;1,03091500
-13,52033520;0,70390940;1,07577700
-13,49985520;0,65981020;1,03091500
-13,47937520;0,65981020;0,98605300
-13,45889520;0,70390940;0,98605300
-13,43841520;0,65981020;0,98605300
-13,41793520;0,61571090;0,94134340
-13,39745520;0,61571090;0,94134340
-13,37697520;0,61571090;0,94134340
-13,35649520;0,61571090;0,94134340
-13,33601520;0,61571090;0,89648120
-13,31553520;0,61571090;0,89648120
-13,29505520;0,57161170;0,89648120
-13,27457520;0,57161170;0,89648120
-13,25409520;0,57161170;0,85161900
-13,23361520;0,57161170;0,85161900
-13,21313520;0,57161170;0,85161900
-13,19265520;0,52751240;0,80675680
-13,17217520;0,52751240;0,80675680
-13,15169520;0,57161170;0,80675680
-13,13121520;0,52751240;0,80675680
-13,11073520;0,52751240;0,76189460
-13,09025520;0,52751240;0,76189460
-13,06977520;0,52751240;0,76189460
-13,04929520;0,48341320;0,71703240
-13,02881520;0,48341320;0,76189460
-13,00833520;0,48341320;0,71703240
-12,98785520;0,48341320;0,71703240
-12,96737520;0,48341320;0,67232280
-12,94689520;0,43931390;0,71703240
-12,92641520;0,43931390;0,67232280
-12,90593520;0,43931390;0,67232280
-12,88545520;0,39521470;0,62746050
-12,86497520;0,39521470;0,62746050
-12,84449520;0,39521470;0,62746050
-12,82401520;0,39521470;0,62746050
-12,80353520;0,39521470;0,62746050
-12,78305520;0,39521470;0,58259830
-12,76257520;0,39521470;0,58259830
-12,74209520;0,39521470;0,58259830
-12,72161521;0,39521470;0,58259830
-12,70113521;0,35111550;0,53773610
-12,68065521;0,39521470;0,49287390
-12,66017521;0,35111550;0,49287390
-12,63969521;0,35111550;0,49287390
-12,61921521;0,30701620;0,49287390
-12,59873521;0,30701620;0,49287390
-12,57825521;0,30701620;0,44816430
-12,55777521;0,30701620;0,44816430
-12,53729521;0,30701620;0,40330210
-12,51681521;0,26291700;0,44816430
